tribunal,siglaTribunal,dadosBasicos.orgaoJulgador.codigoOrgao,ocorrencia,valido,nao_valido,freq1,freq2,freq3,freq4
trf,TRF5,19383,2,1,0,1,0,0,0
trf,TRF5,12167,197,37,4,2,31,6,2
trf,TRF5,12168,291,36,5,2,31,6,2
trf,TRF5,12206,235,38,7,4,35,4,2
trf,TRF5,12226,3631,52,5,2,51,3,1
trf,TRF5,12158,932,67,17,6,62,15,1
trf,TRF5,12159,484,58,13,6,51,13,1
trf,TRF5,12160,434,50,5,1,40,13,1
trf,TRF5,12161,601,70,15,4,62,18,1
trf,TRF5,12165,310,36,5,3,25,12,1
trf,TRF5,12166,247,34,1,3,24,6,2
trf,TRF5,12169,161,26,1,0,21,5,1
trf,TRF5,12171,292,32,1,3,24,5,1
trf,TRF5,12172,290,33,2,0,29,5,1
trf,TRF5,12173,205,29,3,1,25,5,1
trf,TRF5,12174,160,29,2,1,24,5,1
trf,TRF5,12176,48,17,0,1,14,1,1
trf,TRF5,12184,692,52,9,1,42,17,1
trf,TRF5,12188,465,52,15,3,53,10,1
trf,TRF5,12189,442,43,7,4,36,9,1
trf,TRF5,12190,177,31,1,2,25,5,0
trf,TRF5,12191,149,31,7,3,25,10,0
trf,TRF5,12193,304,33,4,1,27,9,0
trf,TRF5,12195,693,57,4,4,39,16,2
trf,TRF5,12198,2008,60,24,9,62,12,1
trf,TRF5,12199,293,41,3,2,35,6,1
trf,TRF5,12200,275,25,1,0,21,4,1
trf,TRF5,12202,217,24,3,0,23,3,1
trf,TRF5,12203,160,27,4,0,26,4,1
trf,TRF5,12204,213,29,4,1,26,5,1
trf,TRF5,12205,261,34,1,0,18,15,2
trf,TRF5,12207,217,27,5,1,26,4,1
trf,TRF5,12209,126,25,2,0,22,5,0
trf,TRF5,12213,173,25,1,0,15,10,1
trf,TRF5,12214,237,35,1,0,17,17,2
trf,TRF5,12217,226,34,1,1,20,13,1
trf,TRF5,12218,41,13,1,0,12,2,0
trf,TRF5,12222,2318,59,5,5,52,6,1
trf,TRF5,12225,3702,60,9,6,52,9,2
trf,TRF5,12230,870,58,2,1,39,17,3
trf,TRF5,12231,396,51,4,2,41,12,0
trf,TRF5,12232,335,54,3,7,35,15,0
trf,TRF5,12233,504,63,3,3,48,15,0
trf,TRF5,12236,474,41,3,0,27,15,2
trf,TRF5,13694,559,61,6,1,50,13,3
trf,TRF5,13702,393,34,0,0,20,13,1
trf,TRF5,13886,438,40,4,2,24,17,1
trf,TRF5,14136,248,26,1,0,15,11,1
trf,TRF5,14194,242,25,1,2,21,3,0
trf,TRF5,16487,294,29,0,1,20,6,2
trf,TRF5,16530,240,42,1,0,33,10,0
trf,TRF5,17824,2368,7,0,1,5,1,0
trf,TRF5,17827,101,3,0,0,2,1,0
trf,TRF5,17829,167,3,0,0,2,1,0
trf,TRF5,17830,84,4,0,1,2,1,0
trf,TRF5,17831,275,4,0,1,2,1,0
trf,TRF5,18222,91,6,1,0,6,1,0
trf,TRF5,18304,218,21,3,1,17,6,0
trf,TRF5,12219,1749,19,0,0,11,7,1
trf,TRF5,16533,1245,19,0,0,12,5,2
trf,TRF5,13885,211,39,3,0,26,15,1
trf,TRF5,18230,187,18,1,2,14,3,0
trf,TRF5,17826,79,3,0,1,1,1,0
trf,TRF5,12197,596,21,1,0,15,5,2
trf,TRF5,12208,1249,17,0,0,9,6,2
trf,TRF5,13889,459,45,2,0,29,14,4
trf,TRF5,13890,316,38,1,1,25,11,2
trf,TRF5,18227,257,27,1,1,16,10,1
trf,TRF5,18211,134,27,2,3,15,11,0
trf,TRF5,14190,183,19,1,3,15,2,0
trf,TRF5,14192,204,19,1,2,13,5,0
trf,TRF5,16558,193,28,4,1,23,8,0
trf,TRF5,19372,289,20,0,3,13,4,0
trf,TRF5,19373,144,15,0,0,13,2,0
trf,TRF5,71024,217,22,1,1,18,4,0
trf,TRF5,17825,816,3,0,0,2,1,0
trf,TRF5,17828,60,3,0,1,1,1,0
trf,TRF5,18233,150,14,1,0,11,4,0
trf,TRF5,14186,210,18,5,0,19,4,0
trf,TRF5,19369,234,19,0,2,14,3,0
trf,TRF5,19374,287,19,0,0,15,4,0
trf,TRF5,19380,233,18,2,1,18,1,0
trf,TRF5,12163,628,7,0,0,3,4,0
trf,TRF5,12164,456,27,1,0,17,10,1
trf,TRF5,12183,240,5,0,0,1,4,0
trf,TRF5,12187,272,6,0,0,2,4,0
trf,TRF5,12196,838,5,0,0,1,4,0
trf,TRF5,12211,572,6,0,0,2,4,0
trf,TRF5,12212,1069,5,0,0,1,4,0
trf,TRF5,12215,422,32,2,0,18,15,1
trf,TRF5,12216,580,5,0,0,1,4,0
trf,TRF5,12224,3042,17,5,0,12,9,1
trf,TRF5,12228,630,7,0,0,3,4,0
trf,TRF5,12235,400,8,0,0,4,4,0
trf,TRF5,13861,257,33,1,0,19,14,1
trf,TRF5,13888,555,50,6,2,34,20,0
trf,TRF5,13900,132,9,0,0,3,5,1
trf,TRF5,14592,679,6,0,0,2,4,0
trf,TRF5,14593,394,6,0,0,2,4,0
trf,TRF5,16525,371,44,6,2,32,15,1
trf,TRF5,16526,231,4,0,0,2,2,0
trf,TRF5,16528,227,4,0,1,1,2,0
trf,TRF5,16531,727,7,0,0,3,4,0
trf,TRF5,16980,214,18,1,0,11,7,1
trf,TRF5,12162,2254,22,0,0,16,4,2
trf,TRF5,12175,2011,25,2,2,13,10,2
trf,TRF5,12194,503,6,0,0,2,4,0
trf,TRF5,12234,723,19,0,0,14,3,2
trf,TRF5,15298,290,36,2,0,22,15,1
trf,TRF5,16529,200,28,3,1,20,8,2
trf,TRF5,16532,157,5,0,0,1,4,0
trf,TRF5,17823,576,6,0,0,2,4,0
trf,TRF5,18213,304,25,1,0,14,11,1
trf,TRF5,12221,212,29,1,1,16,12,1
trf,TRF5,12179,206,4,0,0,0,4,0
trf,TRF5,12180,347,5,1,0,2,4,0
trf,TRF5,12185,220,4,0,0,0,4,0
trf,TRF5,12186,1922,19,0,0,9,8,2
trf,TRF5,12237,386,37,1,0,21,15,2
trf,TRF5,13859,255,28,3,0,16,13,2
trf,TRF5,13860,307,39,1,0,24,15,1
trf,TRF5,13884,186,34,8,1,23,17,1
trf,TRF5,13887,172,29,6,1,19,15,0
trf,TRF5,13899,223,10,0,0,3,6,1
trf,TRF5,13901,245,4,0,0,0,4,0
trf,TRF5,15384,430,3,0,0,0,3,0
trf,TRF5,16023,412,45,6,2,32,16,1
trf,TRF5,16524,468,5,0,0,1,4,0
trf,TRF5,16527,296,4,0,0,0,4,0
trf,TRF5,16979,160,14,1,0,4,10,1
trf,TRF5,16981,205,4,0,0,0,4,0
trf,TRF5,16982,710,5,0,0,1,4,0
trf,TRF5,17908,1118,15,0,0,7,6,2
trf,TRF5,18091,175,22,2,0,13,10,1
trf,TRF5,17910,151,27,0,1,17,7,2
trf,TRF5,12182,521,59,4,2,41,18,2
trf,TRF5,12220,140,31,2,1,19,11,2
trf,TRF5,12227,1920,17,0,0,11,3,3
trf,TRF5,12229,553,58,3,2,45,11,3
trf,TRF5,12210,582,16,13,1,21,7,0
trf,TRF5,12223,3947,69,17,9,62,14,1
trf,TRF5,15385,789,39,3,3,29,10,0
trf,TRF5,53041,34,6,1,0,5,2,0
trf,TRF5,53044,108,11,6,1,10,6,0
trf,TRF5,53047,255,20,2,1,17,3,1
trf,TRF5,12178,1277,53,15,4,47,17,0
trf,TRF5,12181,338,37,5,1,27,13,1
trf,TRF5,17909,278,13,4,0,8,9,0
trf,TRF5,18090,1222,39,9,7,29,12,0
trf,TRF5,19376,80,7,3,3,7,0,0
trf,TRF5,19382,87,9,3,4,8,0,0
trf,TRF5,53037,11,5,1,0,4,2,0
trf,TRF5,12177,927,40,12,3,35,14,0
trf,TRF5,14182,14,7,3,1,7,2,0
trf,TRF5,14196,190,16,4,0,17,0,0
trf,TRF5,17907,747,41,10,2,36,13,0
trf,TRF5,53029,72,13,2,0,8,7,0
trf,TRF5,12201,609,18,18,4,24,8,0
trf,TRF5,53023,57,9,2,0,5,6,0
trf,TRF5,53025,65,10,1,0,5,6,0
trf,TRF5,53031,25,7,3,0,5,5,0
trf,TRF5,53052,14,6,0,0,4,2,0
trf,TRF5,53036,32,9,1,0,6,4,0
trf,TRF5,14180,71,12,3,0,9,6,0
trf,TRF5,53024,50,13,1,0,8,6,0
trf,TRF5,53026,47,7,3,0,5,5,0
trf,TRF5,53048,168,12,4,0,7,8,1
trf,TRF5,53050,20,7,0,0,4,3,0
trf,TRF5,53051,14,8,1,0,4,5,0
trf,TRF5,14191,40,8,4,0,7,5,0
trf,TRF5,53039,2,2,0,0,2,0,0
trf,TRF5,12192,2276,17,0,0,8,7,2
trf,TRF5,53034,28,2,0,0,0,1,1
trf,TRF5,53038,274,6,0,0,2,3,1
trf,TRF5,53042,490,5,0,0,1,3,1
trf,TRF5,14181,3,3,0,0,2,1,0
trf,TRF5,14183,7,4,1,0,4,1,0
trf,TRF5,14184,4,3,0,1,2,0,0
trf,TRF5,14185,5,2,0,0,2,0,0
trf,TRF5,14188,5,1,1,0,2,0,0
trf,TRF5,19370,79,7,0,0,4,3,0
trf,TRF5,14187,1,1,0,0,1,0,0
trf,TRF5,70987,2,1,0,0,1,0,0
trf,TRF5,53035,45,18,6,0,16,8,0
trf,TRF5,1000,29,5,2,0,3,4,0
trf,TRF5,1102,6,4,2,0,3,3,0
trf,TRF5,1104,26,4,2,0,3,3,0
trf,TRF5,1201,8,3,2,0,4,0,0
trf,TRF5,1202,102,9,2,0,8,0,0
trf,TRF5,53045,15,4,1,0,1,4,0
trf,TRF5,14112,8,2,0,0,0,2,0
trf,TRF5,53030,4,2,0,0,0,2,0
trf,TRF5,70992,2,2,0,0,0,2,0
trf,TRF5,1101,10,4,0,0,1,3,0
trf,TRF5,1103,20,5,1,1,2,3,0
trf,TRF5,14189,2,2,0,0,1,1,0
trf,TRF5,53046,465,5,0,0,2,3,0
trf,TRF5,53049,144,5,1,0,4,1,1
trf,TRF4,12581,289,36,0,2,24,8,2
trf,TRF4,11911,476,34,0,2,19,9,4
trf,TRF4,11912,330,42,0,2,24,14,2
trf,TRF4,11913,402,46,0,3,29,12,2
trf,TRF4,11914,465,48,0,1,28,15,4
trf,TRF4,11918,160,50,0,1,32,14,3
trf,TRF4,11919,227,34,0,0,18,12,4
trf,TRF4,11922,397,64,0,3,41,16,4
trf,TRF4,11923,191,35,0,0,18,13,4
trf,TRF4,11926,239,24,0,2,10,10,2
trf,TRF4,11927,321,31,0,0,17,11,3
trf,TRF4,11929,171,34,0,1,18,11,4
trf,TRF4,11930,130,11,0,0,7,4,0
trf,TRF4,11950,297,42,0,0,25,13,4
trf,TRF4,11951,278,48,0,2,29,13,4
trf,TRF4,11952,126,26,0,0,12,10,4
trf,TRF4,11956,134,16,0,0,8,7,1
trf,TRF4,11957,208,30,0,1,18,7,4
trf,TRF4,11958,173,39,0,1,24,13,1
trf,TRF4,11961,362,52,0,2,28,18,4
trf,TRF4,11964,469,44,0,2,28,12,2
trf,TRF4,11966,73,17,0,0,9,6,2
trf,TRF4,11967,189,26,0,0,13,9,4
trf,TRF4,11969,258,38,0,0,23,13,2
trf,TRF4,11971,188,38,0,0,22,12,4
trf,TRF4,11973,454,57,0,3,31,20,3
trf,TRF4,12001,322,52,0,2,28,19,3
trf,TRF4,12006,135,31,0,1,14,12,4
trf,TRF4,12008,178,31,0,0,15,12,4
trf,TRF4,12012,194,35,0,0,19,12,4
trf,TRF4,12013,467,52,0,2,29,17,4
trf,TRF4,12149,171,35,0,3,23,7,2
trf,TRF4,12150,250,30,0,2,15,9,4
trf,TRF4,12577,71,21,0,0,11,9,1
trf,TRF4,12578,260,12,0,0,8,4,0
trf,TRF4,12582,400,36,0,1,25,8,2
trf,TRF4,12583,113,9,0,0,5,4,0
trf,TRF4,12585,334,36,0,1,21,12,2
trf,TRF4,12586,185,16,0,0,9,7,0
trf,TRF4,12587,189,36,0,0,24,10,2
trf,TRF4,12591,236,21,0,0,13,6,2
trf,TRF4,12593,307,29,0,1,14,10,4
trf,TRF4,12594,221,32,0,0,22,8,2
trf,TRF4,12595,53,16,0,1,9,5,1
trf,TRF4,12602,214,12,0,0,6,6,0
trf,TRF4,12605,394,37,0,1,24,10,2
trf,TRF4,12616,119,26,0,0,15,9,2
trf,TRF4,12617,379,17,0,2,11,4,0
trf,TRF4,12618,107,8,0,0,6,2,0
trf,TRF4,12619,138,10,0,0,6,4,0
trf,TRF4,12620,1147,38,0,4,22,10,2
trf,TRF4,12621,252,30,0,0,20,9,1
trf,TRF4,12623,134,39,0,2,22,11,4
trf,TRF4,12626,164,12,0,0,6,6,0
trf,TRF4,12627,195,34,0,2,20,10,2
trf,TRF4,12630,85,16,0,0,9,6,1
trf,TRF4,12632,228,32,0,1,23,6,2
trf,TRF4,12633,216,29,0,1,17,9,2
trf,TRF4,12634,447,45,0,6,29,8,2
trf,TRF4,12635,711,54,0,11,30,11,2
trf,TRF4,12637,103,9,0,0,5,4,0
trf,TRF4,12639,145,9,0,0,5,4,0
trf,TRF4,12641,966,54,0,11,33,9,1
trf,TRF4,12642,632,50,0,9,30,9,2
trf,TRF4,12643,340,43,0,5,26,9,3
trf,TRF4,12653,161,10,0,0,6,4,0
