index;dadosBasicos.numero;principal;dadosBasicos.classeProcessual;descricao_classe;dadosBasicos.orgaoJulgador.codigoOrgao;dadosBasicos.orgaoJulgador.nomeOrgao;DSC_TIP_ORGAO;assuntoLocal;assuntoLocal.descricao;codigoAssunto;assuntoLocalPai;codigoPaiNacional;cod_assunto;descricao_assunto;cod_assunto_classe;ocorrencia_ac;valid_ac;categoria;tribunal;cl_principal
    1;5,00E+19;TRUE; 1116;Execução Fiscal;12276;1ª Vara Federal de Itaboraí;7;NA;NA;NA;NA;NA;10398;Metrológica;10398 1116; 2002;0;1;2;2
    2;1,44E+16;FALSE; 1116;Execução Fiscal;12192;5ª Vara Federal;7;NA;NA;NA;NA;NA; 6017;Dívida Ativa;6017 1116;52788;1;0;5;2
    3;5,00E+19;TRUE; 1116;Execução Fiscal;14012;3ª VARA FEDERAL DE GUARULHOS;7;NA;NA;NA;NA;NA; 6046;Conselhos Regionais e Afins (Anuidade);6046 1116;14250;1;0;3;2
    4;1,04E+18;FALSE;  283;Ação Penal - Procedimento Ordinário;12447;6? VARA FEDERAL CRIMINAL DE S?O PAULO;7;NA;NA;NA;NA;NA; 3432;Estelionato Majorado;3432 283; 1974;1;0;3;268
    5;5,00E+19;TRUE; 1116;Execução Fiscal;11960;1ª Vara Federal de Pelotas;7;NA;NA;NA;NA;NA; 6017;Dívida Ativa;6017 1116;52788;1;0;4;2
    6;5,00E+19;TRUE;  436;Procedimento do Juizado Especial Cível;12880;2º Juizado Especial Federal de Volta Redonda;7;NA;NA;NA;NA;NA; 6100;Aposentadoria Especial (Art. 57/8);6100 436;  551;1;0;2;2
    7;3,21E+15;TRUE;  283;Ação Penal - Procedimento Ordinário;11927;1ª Vara Federal de Toledo;7;NA;NA;NA;NA;NA; 3431;Estelionato;3431 283;  729;1;0;4;268
    8;3,41E+15;TRUE;    7;Procedimento Comum Cível;12273;Vara Federal de Angra dos Reis;7;NA;NA;NA;NA;NA;10431;Responsabilidade Civil;10431 7;  152;1;0;2;2
    9;5,16E+18;TRUE; 1116;Execução Fiscal;12878;8ª Vara de Execução Fiscal do Rio de Janeiro;7;NA;NA;NA;NA;NA; 6017;Dívida Ativa;6017 1116;52788;1;0;2;2
   10;1,28E+16;TRUE;    7;Procedimento Comum Cível;12256;30ª Vara Federal do Rio de Janeiro;7;NA;NA;NA;NA;NA; 5975;Aquisição de combustíveis;5975 7;  375;1;0;2;2
   11;1,20E+16;TRUE; 1116;Execução Fiscal;12227;6ª Vara Federal;7;NA;NA;NA;NA;NA;10436;Lei de Imprensa;10436 1116; 2054;1;0;5;2
   12;5,02E+19;FALSE;  436;Procedimento do Juizado Especial Cível;14051;11ª VARA-GABINETE DO JUIZADO ESPECIAL FED. DE SÃO PAULO;1;NA;NA;NA;NA;NA;10159;Atualização de Conta;10159 436;  458;0;1;3;2
   13;8,03E+18;TRUE; 1116;Execução Fiscal;12162;5ª Vara Federal;7;NA;NA;NA;NA;NA; 6046;Conselhos Regionais e Afins (Anuidade);6046 1116;14250;1;0;5;2
   14;8,04E+18;TRUE; 1733;Procedimento Investigatório Criminal (PIC-MP);15385;14ª Vara Federal;7;NA;NA;NA;NA;NA; 3533;Falsidade ideológica;3533 1733;   40;1;0;5;268
   15;4,65E+17;TRUE;  198;Apelação Cível;21684;GAB. 15 - DES.FED. ANDRÉ NEKATSCHALOW;3;NA;NA;NA;NA;NA; 6085;FGTS/Fundo de Garantia Por Tempo de Serviço;6085 198;  114;1;0;3;2
   16;1,52E+16;FALSE; 1116;Execução Fiscal;14057;5ª VARA FEDERAL DE CAMPINAS;7;NA;NA;NA;NA;NA; 6046;Conselhos Regionais e Afins (Anuidade);6046 1116;14250;1;0;3;2
   17;4,86E+16;FALSE;    7;Procedimento Comum Cível;12582;3ª Vara Federal de Florianópolis;7;NA;NA;NA;NA;NA;  899;DIREITO CIVIL;899 7; 1016;1;0;4;2
   18;5,02E+19;FALSE; 1116;Execução Fiscal;12654;5ª Vara Federal de Blumenau;7;NA;NA;NA;NA;NA; 5933;IRPJ/Imposto de Renda de Pessoa Jurídica;5933 1116; 1045;1;0;4;2
   19;7,08E+16;TRUE; 1116;Execução Fiscal;17631;19ª - Brasília;7;NA;NA;NA;NA;NA; 5917;IRPF/Imposto de Renda de Pessoa Física;5917 1116; 1307;1;0;1;2
   20;5,52E+17;FALSE; 1114;Execução Contra a Fazenda Pública;12642;4ª Vara Federal de Curitiba;7;NA;NA;NA;NA;NA;10502;Indenização por Dano Material;10502 1114;    4;0;1;4;2
   21;5,01E+19;FALSE; 1116;Execução Fiscal;13990;2ª VARA FEDERAL DE EXECUÇÕES FISCAIS DE SÃO PAULO;7;NA;NA;NA;NA;NA; 6017;Dívida Ativa;6017 1116;52788;1;0;3;2
   22;1,59E+14;TRUE; 1116;Execução Fiscal;16660;11ª - São Luís;7;NA;NA;NA;NA;NA; 6085;FGTS/Fundo de Garantia Por Tempo de Serviço;6085 1116; 4118;1;0;1;2
